Date,Mkt-RF,SMB,HML,RF,Mom   ,AAPL,MSFT,AMZN,TSLA,GOOGL,META,NVDA,BRK-B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO
2013-11-13,0.9,0.11,-0.11,0.0,0.64,0.0011923177624069,0.0214133823656721,0.0191400609360605,0.0065311459589767,0.020449076820141,0.0450546759627097,0.0273537312666729,0.0052534671126065,0.0031498692639329,-0.0023518402660805,0.015153451051542,0.0186400678015226,0.0084538353562308,0.0096526024076677,0.0223465179661048,-0.0029822506918604,0.0156150524166382,-0.00086321124618,0.0177068963926598,0.0113781240436208
2013-11-14,0.43,-0.58,0.3,0.0,-0.09,0.0144627743800878,-0.0036692091610973,0.031385098500829,-0.0079308296667238,0.0026731949751435,0.005748359664482,0.0043343322456548,0.007664880250201,0.004802512206552,0.0062141430418138,0.0060556603780672,0.0172683389272425,0.0098204509606045,0.0018520755786404,0.0109290331474702,0.0109450121609406,0.004079133659625,0.0068037557148334,0.0152242617663096,-0.1095831127113559
2013-11-15,0.43,0.07,-0.28,0.0,-0.05,-0.0060017769116592,-0.0047343290073502,0.0048175865634614,-0.015625011370799,-0.0016131729029653,0.0004081780441169,-0.0030826711863973,0.0052727167212267,0.0086396748672936,0.0050040867080991,0.0060191478449649,0.0138074812550659,0.0061673326978231,0.0092430134135168,0.0081081411572696,0.0117416293735521,0.0062500113626653,0.0219908787803992,-0.0002857366302914,0.0079546826138052
2013-11-18,-0.5,-0.46,0.46,0.0,-0.92,-0.0121143231373453,-0.016913095523362,-0.0080992439217696,-0.1023993833962022,-0.0019446725146707,-0.0648846480184706,-0.0241187091379884,-0.0034393939413818,0.0158555339545978,-0.0009531988077806,-0.0026439580562518,-0.0044982036487906,-0.0031830728171744,-0.0103961433084421,0.0,0.0030441712221198,-0.0059005233748062,0.0018897702353439,-0.0071428198912512,-0.011605956229622
2013-11-19,-0.27,-0.32,0.26,0.0,-0.48,0.0017737375260771,-0.0048750558012105,-0.0033863277408122,0.0370949345209787,-0.0061557822082274,0.0115644503190428,-0.016247116554287,-0.0005177324175865,0.0073555869265093,0.0059384538628917,-0.0009763945755636,0.0089117337466499,-0.0027194566451169,-0.0125562187749077,0.0187667039595249,-0.0100721387853581,-0.0109345561435134,-0.0003146111775439,-0.0054678048739549,0.0061057423853614
2013-11-20,-0.33,0.26,0.04,0.0,0.1,-0.0087574257553441,0.0092540356929335,-0.0064942049402075,-0.0394955714160917,-0.002819056761257,0.0015099157442328,-0.0148965865780545,-0.0081145963546983,-0.0008906064728301,0.0030570201447732,0.0051669093273605,-0.0078376686707858,0.0041500994860015,0.0036984332019724,-0.0039474976185325,-0.0013655158105353,0.0082125671774231,-0.0077550754403019,0.001591529102138,-0.0088699540316694
2013-11-21,0.97,0.78,-0.03,0.0,0.91,0.0119220654851295,0.0086294757266733,0.0175138131138175,0.0081743846680737,0.0115034376264162,0.0058152155069783,0.0078898720669409,0.0132288652992234,0.0199643655604468,0.0005256872738041,0.0129200610526165,0.0010034509524334,-0.0002361941572424,0.0176155228634009,0.0297227336329546,0.0014343870445492,0.0015663278515198,0.0001056414433653,0.0102556456146571,0.0113046645055623
2013-11-22,0.5,-0.05,0.08,0.0,0.48,-0.0025711694706471,0.0045457606002974,0.0091890035131778,-0.0058968468880635,-0.0021082261579838,-0.0100642658035267,-0.0097848893563441,0.0046383862224745,0.0041947249971465,0.007510046555478,0.0113841097058673,-0.0081427709546728,0.0033068987270374,0.002529453955294,0.0032072645390408,0.0099732139588935,0.0046916349161216,0.0033794325744893,0.0037176257904019,-0.0004658610479882
2013-11-25,-0.11,0.14,0.13,0.0,-0.37,0.007580102629058,0.0018631684875067,0.0116301599107284,-0.0044488694681261,0.0136060798035146,-0.0304996725367456,0.0217391420148207,-0.0113714247731321,0.0033064621662282,0.0039893973539701,0.0044749638819665,0.0071989452691192,0.0054149413441224,-0.0009399282999053,0.0108692364473448,0.0027044202165924,0.0006230648651277,0.0008418902776505,-0.0065528798641879,-0.0088535418266899
2013-11-26,0.18,0.84,-0.42,0.0,0.63,0.0184442165241105,-0.0077046233926154,0.012558399382907,-0.0028136707844184,0.0119319947276588,0.023873264214854,0.0083816481820526,0.0082159007195568,-0.0083262607224192,-0.0059604218595489,0.0060752671098682,0.0075236271297249,-0.0090149429069693,0.0078739774639322,0.0044278200347191,0.0007268629765151,-0.007778573923287,-0.0086239042033984,0.0206481795026751,-0.0028210812061197
