Portfolio,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean,VaR95_Pct,VaR99_Pct,ES95_Pct,ES99_Pct
Straddle,8.9,2.443272998256967,2.452530375092689,2.4563917066237853,2.4567340459753333,3.44144142897446,-2.4569125248036077,26.349640195385167,0.3660396439029517,0.2745250559839289,0.2759990681599759,0.27556521068457174,0.2760375332556554
SynLong,0.09999999999999964,13.584271653237183,16.90919919389065,19.211835484384494,21.780541632164013,8.353223292718726,-30.660594527175178,35.149554602975925,-0.16686804820472179,135.84271653237232,192.11835484384562,169.0919919389071,217.8054163216409
CallSpread,3.7800000000000002,3.632404651182835,3.712621683728688,3.7611177633137647,3.771760975926948,2.7784988895692213,-3.7799584439957767,6.21833961978524,-0.24479477088454332,0.9609536114240304,0.9950046992893556,0.9821750486054729,0.997820364001838
PutSpread,2.8000000000000003,2.671621352798396,2.744683225655627,2.7816690380309606,2.79099938532718,2.5355643291112084,-2.799966060072258,7.181237416062075,0.390546610428155,0.9541504831422841,0.9934532278682001,0.9802440091627238,0.9967854947597071
Stock,164.85,13.364242483163252,16.669476184953837,18.95895330400151,21.52387255859196,8.350643191951582,-30.40158215330223,35.419017657392516,-0.04218160449342484,0.08106910817812103,0.11500729938733098,0.10111905480712063,0.13056640921196216
Call ,4.5,4.352039404044373,4.432510846320952,4.481111476541879,4.491759269967922,4.596774737662126,-4.499958443933259,30.749597399180544,0.09958579784911419,0.9671198675654161,0.9958025503426398,0.9850024102935449,0.9981687266595382
Put ,4.4,4.251874751024146,4.336320362409844,4.3789141418852635,4.389621099426949,4.436168533174954,-4.399957203795378,26.16063608324192,0.2664538460538392,0.9663351706873058,0.995207759519378,0.9855273550931463,0.9976411589606702
CoveredCall,160.35,9.01220307911888,12.236965338632887,14.477841827459631,17.032113288624043,4.412932013093215,-25.90162370936897,4.6694202582119715,-0.14176740234253882,0.05620332447221004,0.09028900422488077,0.07631409628084121,0.10621835540145957
ProtectedPut,169.25,4.132010233970442,4.19278783738414,4.228229296158895,4.235090196395868,4.614772652629269,-4.2409460700603105,31.019060453597138,0.22427224156041362,0.024413649831435406,0.024982152414528187,0.024772749408473498,0.02502268949126067
