stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
ABT,98.150002,2.1148169190463477,2.8270776894952694,3.2615129261368025,3.944737681567154,1.3124221508774572,-6.590667035742726,8.241993929348311,0.0005883967760030856
NFLX,379.809998,16.700274533018217,23.54965042634166,25.767836458182785,37.55647723638165,10.72191090426971,-182.6070759117466,55.76403890239118,-0.514175924932309
DHR,248.369995,6.673665048024247,9.693829046213345,10.751668051739529,15.439782933967429,4.456424903819981,-45.00666402624796,33.33582136375921,0.1092867543222239
AMD,96.199997,4.959371698616678,6.482941943409704,7.419627290772155,8.852894027252463,3.032285256502066,-13.562125646008681,17.385185740604513,-0.07683238745337807
WFC,41.23,1.175314986372662,1.523707388043997,1.7167200739794737,2.1550725255249517,0.7328102573339504,-4.081718846547574,4.023856884259175,-0.018964574360571147
DIS,81.25,2.6068600368494828,3.5584996064254573,4.020028139357208,5.3514888629808475,1.637310034564622,-17.008071159071605,14.93793057919791,-0.0076733027483639775
PM,94.93,1.833045193792401,2.4591227742483692,2.842852929568963,3.494613337965932,1.1225446698106223,-5.84193546387408,7.179280824964124,-0.019796125095377676
TXN,160.309998,4.474802915332873,5.623423866923465,6.480947631164696,7.370801413215894,2.733793171192164,-10.057932325266108,14.743076017483787,-0.024392634220351185
INTC,34.18,1.3797738222732434,1.8086020771068805,2.0053589997359467,2.591953038768641,0.8573500755122709,-6.621361318379133,5.6060853397344985,-0.01770290228576368
AMGN,267.700012,5.854050433187979,9.26713314808064,11.038302673090016,16.567836732947843,3.964595946953753,-42.64863987655531,56.05289104651695,-0.33886962495813844
COP,119.160004,4.0986612701498615,5.650789076562045,6.476196780856455,8.477214781886884,2.6387525408350605,-16.564711839334777,30.177297278946597,0.006986445654876397
INTU,508.570007,18.654421651791722,24.366677156338074,27.75595568666705,33.795944048100495,11.602875450008819,-69.23661106016385,66.3059195698325,0.12315074952244817
VZ,33.279999,0.707243880188841,1.079559763549113,1.2560639958014548,1.767779032354987,0.49842795361589626,-4.41162971693225,7.478765060139139,0.01865394988217335
CAT,273.059998,7.985791528098957,11.05459007384924,12.99682401400895,16.52148022565025,5.205014415810236,-31.259042815990398,67.47997293274034,-0.0466533942942669
NEE,67.699997,1.5839007904128408,2.1408341563685402,2.4510214319873995,3.0587257649044015,1.0210546575177457,-7.020567945583323,6.293314642465262,0.04160532579518418
IBM,146.910004,2.7442212460468625,4.244436401766297,4.790228352784709,7.64206222475319,1.8597782622962784,-26.324488450076444,10.162449009329123,-0.02598566052367408
UNP,209.240005,4.9179777980487245,6.861089885282065,7.947269075926698,10.151327722559937,3.1054671963627776,-21.933999867863093,25.49501852061772,-0.06655351626887586
HON,189.779999,3.9772791879271665,5.430456080008234,6.1233951208151325,8.15455786614074,2.581737894028174,-24.919938070395347,21.284588516001918,0.04691169557008613
BMY,58.900002,1.0839730516985924,1.4734744004626532,1.6930524716489472,2.137074168841672,0.6644019609625651,-3.6963543846055984,3.3161725801470254,-0.00836060261637576
LOW,210.490005,5.816066144876459,7.530284538823012,8.454023388464805,10.362813531129744,3.661042847171762,-17.702091591781,26.106456481277263,0.08009082489775653
GE,111.25,3.064459728353995,4.0698067666139845,4.723375979478604,5.650144710260524,1.9028818808353811,-8.338496144017967,10.595412955055863,-0.04809988959710427
